timestamp,reaction_time_ms,trial_type,valid
2025-02-13T21:22:21,541,simple,true
2025-02-13T21:22:26,892,simple,true
2025-02-13T21:22:30,0,simple,false
2025-02-13T21:22:37,425,simple,true
2025-02-13T21:22:43,252,simple,true
2025-02-13T21:22:47,264,simple,true
2025-02-13T21:22:52,274,simple,true
2025-02-13T21:22:58,312,simple,true
2025-02-13T21:25:14,283,simple,true
2025-02-13T21:25:18,242,simple,true
2025-02-13T21:25:22,493,simple,true
2025-02-13T21:28:03,285,simple,true
2025-02-13T21:28:06,269,simple,true
2025-02-13T21:28:12,313,simple,true
2025-02-13T21:28:15,270,simple,true
2025-02-13T21:28:19,1004,simple,true
2025-02-13T21:28:25,284,simple,true
2025-02-13T21:28:30,270,simple,true
2025-02-13T21:28:34,262,simple,true
2025-02-13T21:28:39,298,simple,true
2025-02-13T21:28:42,559,simple,true
2025-02-13T21:28:46,274,simple,true
2025-02-13T21:28:51,255,simple,true
2025-02-13T21:28:55,252,simple,true
2025-02-13T21:28:58,259,simple,true
2025-02-13T21:29:04,289,simple,true
2025-02-13T21:29:08,276,simple,false
2025-02-13T21:29:14,366,simple,true
2025-02-13T21:29:20,22,simple,true
2025-02-13T21:29:28,506,simple,true
2025-02-14T07:55:03,275,simple,true
2025-02-14T07:55:09,261,simple,true
2025-02-14T07:55:13,295,simple,true
2025-02-14T07:55:16,254,simple,true
2025-02-14T07:55:21,269,simple,true
2025-02-14T07:55:26,290,simple,true
2025-02-14T07:55:30,311,simple,true
2025-02-14T07:55:33,316,simple,true
2025-02-14T07:55:39,307,simple,true
2025-02-14T07:55:41,344,simple,true
2025-02-14T07:55:47,314,simple,true
2025-02-14T07:55:49,338,simple,true
2025-02-14T07:55:54,327,simple,true
2025-02-14T07:56:00,306,simple,true
2025-02-14T07:56:05,263,simple,true
2025-02-14T07:56:08,261,simple,true
2025-02-14T07:56:14,337,simple,true
2025-02-14T07:56:17,358,simple,true
2025-02-14T07:56:19,255,simple,true
2025-02-14T07:56:23,289,simple,true
2025-02-14T07:56:25,731,simple,true
2025-02-14T07:56:31,279,simple,true
2025-02-14T07:56:36,265,simple,true
2025-02-14T07:56:38,274,simple,true
2025-02-14T07:56:45,276,simple,true
2025-02-14T07:56:47,262,simple,true
2025-02-14T07:56:50,0,simple,false
2025-02-14T07:56:56,265,simple,true
2025-02-14T07:57:00,266,simple,true
2025-02-14T07:57:02,558,simple,true
2025-02-14T07:57:05,519,simple,true
2025-02-14T07:57:08,287,simple,true
2025-02-14T07:57:13,273,simple,true
2025-02-14T07:57:17,280,simple,true
2025-02-14T07:57:21,278,simple,true
2025-02-14T07:57:25,284,simple,true
2025-02-14T07:57:29,249,simple,true
2025-02-14T07:57:33,283,simple,true
2025-02-14T07:57:36,295,simple,true
2025-02-14T07:57:40,266,simple,true
2025-02-14T07:57:43,261,simple,true
2025-02-14T07:57:45,259,simple,true
2025-02-14T07:57:47,311,simple,true
2025-02-14T07:57:50,285,simple,true
2025-02-14T07:57:53,267,simple,true
2025-02-14T07:57:57,0,simple,false
2025-02-14T07:58:02,300,simple,true
2025-02-14T07:58:07,300,simple,true
2025-02-14T07:58:11,268,simple,true
2025-02-14T07:58:14,49,simple,true
2025-02-14T07:58:19,281,simple,true
2025-02-14T07:58:23,311,simple,true
2025-02-14T07:58:28,297,simple,true
2025-02-14T07:58:33,250,simple,true
2025-02-14T07:58:37,627,simple,true
2025-02-14T07:58:39,306,simple,true
2025-02-14T07:58:42,281,simple,true
2025-02-14T07:58:45,427,simple,true
2025-02-14T07:58:48,298,simple,true
2025-02-14T07:58:51,0,simple,false
2025-02-14T07:58:56,284,simple,true
2025-02-18T13:06:23,264,simple,true
2025-02-18T13:06:28,259,simple,true
2025-02-18T13:06:31,270,simple,true
2025-02-18T13:06:36,247,simple,true
2025-02-18T13:06:40,0,simple,false
2025-02-18T13:06:46,252,simple,true
2025-02-18T13:06:50,278,simple,true
2025-02-18T13:06:53,261,simple,true
2025-02-18T13:06:56,300,simple,true
2025-02-18T13:07:01,275,simple,true
2025-02-18T13:07:03,440,simple,true
2025-02-18T13:07:08,246,simple,true
2025-02-18T13:07:11,289,simple,true
2025-02-18T13:07:14,265,simple,true
2025-02-18T13:07:19,251,simple,true
